C,gamma,kernel,probability,random_state,IR__nada___MLU_Words,IR__nada___Riqueza_lexica,IR__nada___1er_TotPron,IR__nada___2da_TotPron,IR__nada___3era_TotPron,IR__nada___%_Pauses,IR__nada___%_Fillers,IR__nada___%_Reformulaciones,IR__nada___%_monoWWR,IR__nada___Rango_pitch,IR__nada___Rango_Jitter,IR__nada___Rango Shimmer,IR__nada___talking_intervals_speechrate
1.0,scale,rbf,True,42,1,0,1,1,1,1,0,1,0,1,0,1,1
1.0,scale,rbf,True,42,1,1,0,0,0,1,0,1,1,1,0,1,1
1.0,scale,rbf,True,42,1,1,1,1,1,1,1,1,1,1,1,1,1
0.001,auto,sigmoid,True,42,1,0,1,1,1,1,0,1,0,1,0,1,1
0.001,auto,sigmoid,True,42,1,1,0,0,0,1,0,1,1,1,0,1,1
0.001,auto,sigmoid,True,42,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,auto,rbf,True,42,1,0,1,1,1,1,0,1,0,1,0,1,1
0.8,auto,rbf,True,42,1,1,0,0,0,1,0,1,1,1,0,1,1
0.8,auto,rbf,True,42,1,1,1,1,1,1,1,1,1,1,1,1,1
